f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,test_set,n_test,n_rare
0.8148148148148148,0.8,0.16456423117756272,0.5522851498372945,0.4862585377303699,0.9364691814661417,0.15117757634993645,0.30849653167373237,0.8916396103896104,0.9202212256331354,2.07716,-0.28323,8,SVM-RBF,sample100_cu,100,10
0.717391304347826,0.74,0.18452529649309996,0.5999999999899901,0.8071580566486427,0.9999999999195991,0.22365729115011732,0.7553177131801215,0.9172077922077922,0.9347164844640907,9.11298,0.23346,8,RandomForest,sample100_cu,100,10
0.8113207547169812,0.8,0.15969221452131144,0.5996951279981358,0.5386971920810284,0.7400995103840013,0.15894777543414734,0.3228496784564462,0.838474025974026,0.9038749629771397,1.33475,-0.23677,8,MLP,sample100_cu,100,10
0.7368421052631579,0.75,0.21989803982469203,0.6412782478679547,0.8091763369468805,0.9999615730742369,0.24002470680536092,0.7627696899263136,0.9204545454545455,0.9374626494230803,3.89213,-0.32877,8,XGBoost,sample100_cu,100,10
0.7957630513151454,0.7964425124201562,0.15923595804581805,0.6017406378467798,0.5592396085761369,0.9816819591148673,0.1759367452672594,0.44990025792336086,0.9151028625026855,0.9307827477355308,3.35337,-0.41909,9,QSVM,full_kddtest_plus,22544,2952
0.8218513646826702,0.8077537260468417,0.12614969774519216,0.4705084936483612,0.5089751867199725,0.8017766136909491,0.15609928828177036,0.3148705806989363,0.9092281988828825,0.9363087112498267,2.3393,-0.963,9,SVM-RBF,full_kddtest_plus,22544,2952
0.7787199857181112,0.7800745209368346,0.21323842712185778,0.7257458626386968,0.7364069889355671,0.9999999842841301,0.21885658519296336,0.7186540310019831,0.9364967838594286,0.944281594508917,6.82121,-2.2924,9,RandomForest,full_kddtest_plus,22544,2952
0.7966854604476337,0.7888573456352023,0.11083165689783084,0.46432576201736686,0.5092924830316582,0.8562281566958647,0.14112909753236977,0.32135873144772364,0.9305739061559664,0.9458070685843232,1.10747,-0.01374,9,MLP,full_kddtest_plus,22544,2952
0.788801831147108,0.7871717530163236,0.20223230409087015,0.7369540167774894,0.6539705039023529,0.9999980223142829,0.20638936393267296,0.6206315367878935,0.9320655657293412,0.9445916911752404,3.24898,-0.73848,9,XGBoost,full_kddtest_plus,22544,2952
0.7352153050414407,0.6414345991561181,0.3272183525139936,0.7601236299405885,0.5592396085761369,0.9816819591148673,0.3138306633614931,0.44990025792336086,0.7444560628758009,0.9202243408800391,3.35337,-0.41909,9,QSVM,kddtest21,11850,2952
0.7952293155104863,0.700084388185654,0.28709601249203015,0.865389486929212,0.5089751867199725,0.8017766136909491,0.2696389472246373,0.3148705806989363,0.7687238956639203,0.93898850920766,2.3393,-0.963,9,SVM-RBF,kddtest21,11850,2952
0.6981591263650546,0.5918143459915611,0.39259072098314685,0.8725376348670554,0.7364069889355671,0.9999999842841301,0.40970461211807047,0.7186540310019831,0.7341997851854636,0.9207805361339232,6.82121,-2.2924,9,RandomForest,kddtest21,11850,2952
0.7389963222209041,0.6286919831223629,0.2356941713820933,0.7792433357910894,0.5092924830316582,0.8562281566958647,0.2509779737946117,0.32135873144772364,0.7252753652882096,0.9284992217922949,1.10747,-0.01374,9,MLP,kddtest21,11850,2952
0.7151180619441889,0.6080168776371307,0.38295555423479044,0.8324225562295021,0.6539705039023529,0.9999980223142829,0.38222019537356416,0.6206315367878935,0.7240082412653973,0.9215244373386344,3.24898,-0.73848,9,XGBoost,kddtest21,11850,2952
0.7526881720430108,0.77,0.19910923195837418,0.8670693736116946,0.6576731127277938,0.9776670029659842,0.20147398998376317,0.5579515272442441,0.9070616883116883,0.9342297359825739,3.35337,-0.41909,9,QSVM,sample100_cu,100,10
0.803921568627451,0.8,0.16195851799584673,0.6261142365401394,0.6200378571487285,0.849429703782196,0.17163892151818738,0.4312225833629846,0.8879870129870131,0.9295232730400397,2.3393,-0.963,9,SVM-RBF,sample100_cu,100,10
0.7446808510638298,0.76,0.20638740689134333,0.8999958121453121,0.8004036033709696,0.9999999998989906,0.22313603768026435,0.7973880655220188,0.9293831168831169,0.943160386652969,6.82121,-2.2924,9,RandomForest,sample100_cu,100,10
0.7474747474747475,0.75,0.15366452713382514,0.5897215500867601,0.6031447424783418,0.9049968325124964,0.16834618376166133,0.4270583991954485,0.9285714285714285,0.9421604479041652,1.10747,-0.01374,9,MLP,sample100_cu,100,10
0.7628865979381443,0.77,0.2223427159916278,0.7998107393423233,0.7568499790868691,0.9999999742429425,0.2267028930333859,0.7320549150843242,0.929788961038961,0.9428056562702856,3.24898,-0.73848,9,XGBoost,sample100_cu,100,10
0.8338350128691707,0.831041518807665,0.12363885730097786,0.4393984007163817,0.5082189320234802,0.9685525671172434,0.13506001770564985,0.4020535594817328,0.9200415221277287,0.945007037059874,3.5917,0.19998,10,QSVM,full_kddtest_plus,22544,2952
0.8327622231508567,0.8224804826117814,0.12088792111822458,0.3922037503086847,0.5293568567139698,0.8945612560530862,0.13065284668937802,0.3631962656852921,0.9240924680726434,0.9430037751466432,2.17192,-0.00817,10,SVM-RBF,full_kddtest_plus,22544,2952
0.832411269044174,0.825319375443577,0.12689481481098352,0.5823965503321584,0.5691244529354688,0.9999857351058623,0.1449193824982889,0.522309466454989,0.9510734215556779,0.9591074670368889,6.52567,1.00176,10,RandomForest,full_kddtest_plus,22544,2952
0.820796645702306,0.8104151880766501,0.13647273229366103,0.5355350327989598,0.5673153398866748,0.9380550131962757,0.1402015795178499,0.39795896391629665,0.9363728363112481,0.9482184583250235,1.36596,-0.16548,10,MLP,full_kddtest_plus,22544,2952
0.8397400501210551,0.83263839602555,0.13400284575411567,0.6426876021060468,0.6067310332408088,0.9999609784711393,0.14899098801980548,0.5731370690609399,0.9530407704181268,0.9621265405008899,4.10245,1.32514,10,XGBoost,full_kddtest_plus,22544,2952
0.7846826071125137,0.7005907172995781,0.2578091684673794,0.6338091804986967,0.5082189320234802,0.9685525671172434,0.23959784295729453,0.4020535594817328,0.7986938584278672,0.9436599927920972,3.5917,0.19998,10,QSVM,kddtest21,11850,2952
0.7832664756446991,0.6808438818565401,0.2682451618073821,0.707265417295641,0.5293568567139698,0.8945612560530862,0.23146249755998552,0.3631962656852921,0.7320566948997262,0.9273545735586016,2.17192,-0.00817,10,SVM-RBF,kddtest21,11850,2952
0.7766025828317653,0.6773839662447257,0.26673839503413765,0.7962893175270279,0.5691244529354688,0.9999857351058623,0.26618386972562513,0.5223094664549889,0.7814857679619681,0.9397991091982123,6.52567,1.00176,10,RandomForest,kddtest21,11850,2952
0.7679751709868383,0.659324894514768,0.27005130496091106,0.7677586072135462,0.5673153398866748,0.9380550131962757,0.2548563794640528,0.39795896391629665,0.7283396779775234,0.9264978086873843,1.36596,-0.16548,10,MLP,kddtest21,11850,2952
0.7860719692558519,0.689957805907173,0.2535500579945059,0.8118648119598957,0.6067310332408088,0.9999609784711393,0.2740873413447787,0.5731370690609399,0.7998885582510018,0.9459449046948005,4.10245,1.32514,10,XGBoost,kddtest21,11850,2952
0.8163265306122449,0.82,0.1339862668269573,0.4668691279471766,0.5124383152450942,0.9706955097450818,0.1382625288762036,0.39000258893966516,0.913961038961039,0.9463199701080658,3.5917,0.19998,10,QSVM,sample100_cu,100,10
0.8440366972477065,0.83,0.14422157253946985,0.5216998468498921,0.5343754701492686,0.8650363414009623,0.11502857723493541,0.3576012140571551,0.9366883116883117,0.9462385933746812,2.17192,-0.00817,10,SVM-RBF,sample100_cu,100,10
0.8461538461538461,0.84,0.10969431012616575,0.4671427824585984,0.5458317337024162,0.9999974183963022,0.13136394783951386,0.5028472821294361,0.9563717532467533,0.965094105639504,6.52567,1.00176,10,RandomForest,sample100_cu,100,10
0.8,0.79,0.19658337411494115,0.707239391356179,0.6173922498924516,0.9524848690007457,0.15569642201516667,0.44808331757452713,0.926948051948052,0.9373913732739324,1.36596,-0.16548,10,MLP,sample100_cu,100,10
0.8380952380952381,0.83,0.14621934851636445,0.6504412957186606,0.6728751502093937,0.9999370750078582,0.14813676280428917,0.6492797759898867,0.9577922077922078,0.9660316600302555,4.10245,1.32514,10,XGBoost,sample100_cu,100,10
